1	30.3
2	30.3
3	45.3
4	31.9
5	29
6	30.8
7	34.3
8	34.9
9	32.2
10	34.2
11	28.4
12	33.6
13	32.9
14	32.3
15	30.8
16	30.4
17	30.6
18	32.9
19	30.9
20	30.4
21	30.2
22	35.9
23	32.4
24	29.1
25	33.8
26	32.8
27	32.7
28	31.9
29	32.9
30	28.6
31	30.7
32	30.8
33	31.7
34	33.5
35	34
36	29.3
37	26.7
38	32.4
39	30.7
40	33.3
41	30.5
42	31
43	36.8
44	32
45	30.4
46	30.7
47	33.1
48	34.1
49	30.1
50	32.7
51	35.7
52	30.8
53	35
54	35.1
55	33.8
56	34.3
57	27.7
58	34.3
59	32.2
60	32.4
61	35.6
62	30.8
63	31.7
64	30.8
65	31.9
66	32.6
67	35.8
68	33.7
69	34.1
70	34.7
71	35.3
72	32.3
73	33.5
74	39.8
75	49.1
76	43.8
77	47.5
78	50.5
79	48.1
80	36.5
81	32.3
82	31.7
83	28.7
84	29.6
85	35.6
86	36.5
87	39.2
88	35.8
89	35.7
90	37
91	35.3
92	35.8
93	39.7
94	34.1
95	37
96	35.5
97	38.9
98	35.4
99	33.9
100	29.9
101	30.3
102	32.2
103	32.4
104	34.5
105	34.3
106	29.6
107	33.6
108	30.9
109	31.9
110	31
111	30.6
112	32
113	27.6
114	31.6
115	27.8
116	31.7
117	31
118	33.4
119	29.3
120	31.2
121	33.9
122	32.5
123	32.2
124	31.8
125	29.9
126	29.8
127	30.8
128	32.8
129	32.2
130	31.7
131	32.7
132	34.4
133	32.2
134	26.3
135	32.9
136	31.6
137	34.8
138	29.5
139	33.3
140	31.3
141	30.4
142	29.5
143	25.8
144	36.3
145	33.6
146	36.1
147	31.2
148	29.6
149	28.6
150	30.6
151	33.2
152	32.8
153	34.1
154	33.5
155	32.4
156	32.6
157	37.7
158	37.8
159	32.8
160	35.3
161	34.7
162	38.3
163	31.8
164	28.8
165	25.2
166	34.4
167	34.4
168	31.4
169	34.9
170	33.1
171	32.3
172	32.4
173	33.1
174	29.3
175	29.9
176	34.5
177	34.6
178	32.8
179	36.2
180	39.6
181	36.9
182	37.6
183	34.5
184	32.1
185	32.5
186	32.2
187	31.9
188	32
189	34.9
190	31.2
191	33.8
192	32.3
193	32.2
194	34.8
195	31.7
196	33.1
197	32.9
198	35.4
199	28.9
200	33.3
201	30.8
202	35.2
203	32.8
204	34.7
205	32.5
206	30.6
207	30.3
208	32.1
209	33.7
210	29.1
211	32.4
212	33.1
213	33.5
214	30.5
215	32.5
216	32.1
217	32.3
218	27.8
219	32.8
220	33.2
221	34
222	31.6
223	29.6
224	28.5
225	32.7
226	32.3
227	33.8
228	34
229	31.7
230	30
231	29.4
232	32.8
233	30.8
234	31
235	32.6
236	29.9
237	29.7
238	35.7
239	36.8
240	31.3
241	31.6
242	32.6
243	28.7
244	33.1
245	32.9
246	35
247	33.4
248	33.2
249	33.1
250	33.8
251	32.1
252	29.9
253	30
254	34
255	33.3
256	32
257	33.4
258	30.7
259	27.9
260	32.2
261	34.7
262	29.7
263	35.4
264	32.6
265	30.3
266	31.6
267	35.5
268	33.4
269	35.3
270	34.4
271	33
272	33.5
273	32.6
274	35
275	35.3
276	34.8
277	33
278	37.6
279	34.8
280	32.1
281	35.4
282	34.7
283	34.9
284	33.2
285	31.9
286	29.9
287	33.1
288	31
289	31.7
290	34.8
291	30.8
292	33
293	33.9
294	33.5
295	32.5
296	33.1
297	30.8
298	34.1
299	34.1
300	32.2
301	32
302	32.1
303	30.5
304	31.5
305	32.5
306	33.2
307	33.2
308	31.5
309	34.8
310	35.2
311	31.3
312	29
313	31.2
314	28.1
315	33.2
316	29.8
317	30.3
318	29.7
319	30.1
320	34.4
321	30.8
322	31.3
323	29.3
324	27.3
325	30.2
326	29
327	27.4
328	35.6
329	34
330	35.5
331	30.4
332	31.7
333	31.6
334	29.2
335	30.6
336	31.2
337	32
338	30.1
339	32.5
340	32.1
341	27.8
342	32.4
343	35
344	33.5
345	31.1
346	30.3
347	30.4
348	31.4
349	35.3
350	33.1
351	30.5
352	33.1
353	31.4
354	30.7
355	31.9
356	30.5
357	29.2
358	31.2
359	30.5
360	31.4
361	28.7
362	33.8
363	30.3
364	30.1
365	35.2
366	33.8
